sub_id,trial_type,time_looking_at_pref,percentage_looking_at_pref,time_looking_at_alc,percentage_looking_at_alc,time_looking_at_cig,percentage_looking_at_cig,time_looking_at_neu,percentage_looking_at_neu,response_time,last_item_looked_at,last_category_looked_at,time_last_item_looked_at,selected_item,alcohol_pref,cig_pref
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.442371954,none,none,-1.0,waterglass,heineken,newport
cret01,1.0,552.0,0.517338331771,0.0,0.0,0.0,0.0,552.0,0.517338331771,1068.71680549,waterbottle,neutral,1068.0,waterbottle,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.191884193,none,none,-1.0,waterglass,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.844539699,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.075234703,none,none,-1.0,waterbottle,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.693473472,none,none,-1.0,selzter,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.203391026,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796.849347418,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1384.80074858,none,none,-1.0,waterbottle,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.321875441,none,none,-1.0,waterglass,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.510052729,none,none,-1.0,waterglass,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.33397027,none,none,-1.0,waterbottle,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.757082757,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.42225308,none,none,-1.0,waterglass,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.424968943,none,none,-1.0,selzter,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,619.78423956,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,656.258205452,none,none,-1.0,waterbottle,heineken,newport
cret01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.94384088,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.122373438,none,none,-1.0,selzter,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1218.94698556,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.62044922,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316.11401022,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.156528996,none,none,-1.0,waterglass,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,739.507953102,none,none,-1.0,selzter,heineken,newport
cret01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844.448504249,none,none,-1.0,selzter,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.787840938,none,none,-1.0,waterbottle,heineken,newport
cret01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.821569445,none,none,-1.0,waterbottle,heineken,newport
cret01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.87324837,none,none,-1.0,selzter,heineken,newport
cret01,4.0,519.0,0.597238204833,0.0,0.0,100.0,0.115074798619,519.0,0.597238204833,868.92143674,luckystrike,cigarette,868.0,waterbottle,heineken,newport
cret01,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018.62428177,none,none,-1.0,selzter,heineken,newport
cret01,3.0,194.0,0.190382728165,0.0,0.0,0.0,0.0,194.0,0.190382728165,1018.60126916,waterbottle,neutral,908.0,waterbottle,heineken,newport
cret01,1.0,1662.0,0.860693940963,0.0,0.0,0.0,0.0,1662.0,0.860693940963,1936.33436768,waterglass,neutral,1936.0,waterglass,heineken,newport
cret01,4.0,424.0,0.699669966997,0.0,0.0,0.0,0.0,424.0,0.699669966997,605.434744613,waterglass,neutral,605.0,waterglass,heineken,newport
cret01,1.0,236.0,0.208296557811,0.0,0.0,0.0,0.0,236.0,0.208296557811,1133.48456391,selzter,neutral,1132.0,selzter,heineken,newport
cret03,2.0,332.0,0.157570004746,621.0,0.294731846227,332.0,0.157570004746,513.0,0.24347413384,2107.40713176,selzter,neutral,2106.0,maverick,naturallight,maverick
cret03,1.0,889.0,0.45636550308,755.0,0.387577002053,889.0,0.45636550308,0.0,0.0,1947.33195547,naturallight,alcohol,1947.0,maverick,naturallight,maverick
cret03,1.0,410.0,0.416243654822,410.0,0.416243654822,305.0,0.309644670051,0.0,0.0,985.344501973,naturallight,alcohol,984.0,naturallight,naturallight,maverick
cret03,1.0,620.0,0.584354382658,620.0,0.584354382658,0.0,0.0,0.0,0.0,1060.45269572,naturallight,alcohol,1049.0,naturallight,naturallight,maverick
cret03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,823.0,0.731555555556,1125.39777721,waterglass,neutral,1113.0,maverick,naturallight,maverick
