sub_id,trial_type,selected_item,looked_at_item,timepoint,mean_fix_likelihood
3.0,2.0,cigarette,cigarette,461.0,0.2
3.0,2.0,cigarette,neutral,461.0,0.2
4.0,2.0,cigarette,alcohol,461.0,
4.0,2.0,cigarette,cigarette,461.0,
4.0,2.0,cigarette,neutral,461.0,
5.0,2.0,cigarette,alcohol,461.0,0.0
5.0,2.0,cigarette,cigarette,461.0,1.0
5.0,2.0,cigarette,neutral,461.0,0.0
6.0,2.0,cigarette,alcohol,461.0,0.318181818182
6.0,2.0,cigarette,cigarette,461.0,0.681818181818
6.0,2.0,cigarette,neutral,461.0,0.0
7.0,2.0,cigarette,alcohol,461.0,0.0
7.0,2.0,cigarette,cigarette,461.0,0.857142857143
7.0,2.0,cigarette,neutral,461.0,0.142857142857
8.0,2.0,cigarette,alcohol,461.0,0.5
8.0,2.0,cigarette,cigarette,461.0,0.5
8.0,2.0,cigarette,neutral,461.0,0.0
9.0,2.0,cigarette,alcohol,461.0,0.2
9.0,2.0,cigarette,cigarette,461.0,0.5
9.0,2.0,cigarette,neutral,461.0,0.3
10.0,2.0,cigarette,alcohol,461.0,0.363636363636
10.0,2.0,cigarette,cigarette,461.0,0.5
10.0,2.0,cigarette,neutral,461.0,0.136363636364
11.0,2.0,cigarette,alcohol,461.0,0.413793103448
11.0,2.0,cigarette,cigarette,461.0,0.275862068966
11.0,2.0,cigarette,neutral,461.0,0.310344827586
12.0,2.0,cigarette,alcohol,461.0,0.428571428571
12.0,2.0,cigarette,cigarette,461.0,0.428571428571
12.0,2.0,cigarette,neutral,461.0,0.142857142857
13.0,2.0,cigarette,alcohol,461.0,0.333333333333
13.0,2.0,cigarette,cigarette,461.0,0.555555555556
13.0,2.0,cigarette,neutral,461.0,0.111111111111
14.0,2.0,cigarette,alcohol,461.0,0.2
14.0,2.0,cigarette,cigarette,461.0,0.45
14.0,2.0,cigarette,neutral,461.0,0.35
15.0,2.0,cigarette,alcohol,461.0,0.294117647059
15.0,2.0,cigarette,cigarette,461.0,0.352941176471
15.0,2.0,cigarette,neutral,461.0,0.352941176471
16.0,2.0,cigarette,alcohol,461.0,0.285714285714
16.0,2.0,cigarette,cigarette,461.0,0.428571428571
16.0,2.0,cigarette,neutral,461.0,0.285714285714
17.0,2.0,cigarette,alcohol,461.0,0.125
17.0,2.0,cigarette,cigarette,461.0,0.75
17.0,2.0,cigarette,neutral,461.0,0.125
18.0,2.0,cigarette,alcohol,461.0,0.538461538462
18.0,2.0,cigarette,cigarette,461.0,0.153846153846
18.0,2.0,cigarette,neutral,461.0,0.307692307692
19.0,2.0,cigarette,alcohol,461.0,0.190476190476
19.0,2.0,cigarette,cigarette,461.0,0.714285714286
19.0,2.0,cigarette,neutral,461.0,0.0952380952381
20.0,2.0,cigarette,alcohol,461.0,0.2
20.0,2.0,cigarette,cigarette,461.0,0.6
20.0,2.0,cigarette,neutral,461.0,0.2
21.0,2.0,cigarette,alcohol,461.0,0.0909090909091
21.0,2.0,cigarette,cigarette,461.0,0.545454545455
21.0,2.0,cigarette,neutral,461.0,0.363636363636
22.0,2.0,cigarette,alcohol,461.0,0.4375
22.0,2.0,cigarette,cigarette,461.0,0.375
22.0,2.0,cigarette,neutral,461.0,0.1875
23.0,2.0,cigarette,alcohol,461.0,0.375
23.0,2.0,cigarette,cigarette,461.0,0.375
23.0,2.0,cigarette,neutral,461.0,0.25
24.0,2.0,cigarette,alcohol,461.0,0.444444444444
24.0,2.0,cigarette,cigarette,461.0,0.5
24.0,2.0,cigarette,neutral,461.0,0.0555555555556
25.0,2.0,cigarette,alcohol,461.0,0.428571428571
25.0,2.0,cigarette,cigarette,461.0,0.285714285714
25.0,2.0,cigarette,neutral,461.0,0.285714285714
26.0,2.0,cigarette,alcohol,461.0,0.333333333333
26.0,2.0,cigarette,cigarette,461.0,0.666666666667
26.0,2.0,cigarette,neutral,461.0,0.0
27.0,2.0,cigarette,alcohol,461.0,0.363636363636
27.0,2.0,cigarette,cigarette,461.0,0.363636363636
27.0,2.0,cigarette,neutral,461.0,0.272727272727
28.0,2.0,cigarette,alcohol,461.0,0.176470588235
28.0,2.0,cigarette,cigarette,461.0,0.588235294118
28.0,2.0,cigarette,neutral,461.0,0.235294117647
29.0,2.0,cigarette,alcohol,461.0,0.0
29.0,2.0,cigarette,cigarette,461.0,0.785714285714
29.0,2.0,cigarette,neutral,461.0,0.214285714286
1.0,2.0,neutral,alcohol,461.0,0.0
1.0,2.0,neutral,cigarette,461.0,0.5
1.0,2.0,neutral,neutral,461.0,0.5
2.0,2.0,neutral,alcohol,461.0,
2.0,2.0,neutral,cigarette,461.0,
2.0,2.0,neutral,neutral,461.0,
3.0,2.0,neutral,alcohol,461.0,0.0
3.0,2.0,neutral,cigarette,461.0,0.0
3.0,2.0,neutral,neutral,461.0,1.0
4.0,2.0,neutral,alcohol,461.0,
4.0,2.0,neutral,cigarette,461.0,
4.0,2.0,neutral,neutral,461.0,
5.0,2.0,neutral,alcohol,461.0,0.25
5.0,2.0,neutral,cigarette,461.0,0.75
5.0,2.0,neutral,neutral,461.0,0.0
6.0,2.0,neutral,alcohol,461.0,
6.0,2.0,neutral,cigarette,461.0,
6.0,2.0,neutral,neutral,461.0,
7.0,2.0,neutral,alcohol,461.0,
7.0,2.0,neutral,cigarette,461.0,
7.0,2.0,neutral,neutral,461.0,
8.0,2.0,neutral,alcohol,461.0,0.0
8.0,2.0,neutral,cigarette,461.0,0.5
8.0,2.0,neutral,neutral,461.0,0.5
9.0,2.0,neutral,alcohol,461.0,0.5
9.0,2.0,neutral,cigarette,461.0,0.25
9.0,2.0,neutral,neutral,461.0,0.25
10.0,2.0,neutral,alcohol,461.0,
10.0,2.0,neutral,cigarette,461.0,
10.0,2.0,neutral,neutral,461.0,
11.0,2.0,neutral,alcohol,461.0,
11.0,2.0,neutral,cigarette,461.0,
11.0,2.0,neutral,neutral,461.0,
12.0,2.0,neutral,alcohol,461.0,0.0
12.0,2.0,neutral,cigarette,461.0,0.0
12.0,2.0,neutral,neutral,461.0,1.0
13.0,2.0,neutral,alcohol,461.0,0.133333333333
13.0,2.0,neutral,cigarette,461.0,0.333333333333
13.0,2.0,neutral,neutral,461.0,0.533333333333
14.0,2.0,neutral,alcohol,461.0,
14.0,2.0,neutral,cigarette,461.0,
14.0,2.0,neutral,neutral,461.0,
15.0,2.0,neutral,alcohol,461.0,
15.0,2.0,neutral,cigarette,461.0,
15.0,2.0,neutral,neutral,461.0,
16.0,2.0,neutral,alcohol,461.0,0.0
16.0,2.0,neutral,cigarette,461.0,0.25
16.0,2.0,neutral,neutral,461.0,0.75
17.0,2.0,neutral,alcohol,461.0,
17.0,2.0,neutral,cigarette,461.0,
17.0,2.0,neutral,neutral,461.0,
18.0,2.0,neutral,alcohol,461.0,
18.0,2.0,neutral,cigarette,461.0,
18.0,2.0,neutral,neutral,461.0,
19.0,2.0,neutral,alcohol,461.0,
19.0,2.0,neutral,cigarette,461.0,
19.0,2.0,neutral,neutral,461.0,
20.0,2.0,neutral,alcohol,461.0,0.0
20.0,2.0,neutral,cigarette,461.0,1.0
20.0,2.0,neutral,neutral,461.0,0.0
21.0,2.0,neutral,alcohol,461.0,
21.0,2.0,neutral,cigarette,461.0,
21.0,2.0,neutral,neutral,461.0,
22.0,2.0,neutral,alcohol,461.0,
22.0,2.0,neutral,cigarette,461.0,
22.0,2.0,neutral,neutral,461.0,
23.0,2.0,neutral,alcohol,461.0,
23.0,2.0,neutral,cigarette,461.0,
23.0,2.0,neutral,neutral,461.0,
24.0,2.0,neutral,alcohol,461.0,0.5
24.0,2.0,neutral,cigarette,461.0,0.25
24.0,2.0,neutral,neutral,461.0,0.25
25.0,2.0,neutral,alcohol,461.0,0.0
25.0,2.0,neutral,cigarette,461.0,0.666666666667
25.0,2.0,neutral,neutral,461.0,0.333333333333
26.0,2.0,neutral,alcohol,461.0,0.25
26.0,2.0,neutral,cigarette,461.0,0.0833333333333
26.0,2.0,neutral,neutral,461.0,0.666666666667
27.0,2.0,neutral,alcohol,461.0,0.4
27.0,2.0,neutral,cigarette,461.0,0.133333333333
27.0,2.0,neutral,neutral,461.0,0.466666666667
28.0,2.0,neutral,alcohol,461.0,0.0
28.0,2.0,neutral,cigarette,461.0,0.0
28.0,2.0,neutral,neutral,461.0,1.0
29.0,2.0,neutral,alcohol,461.0,
29.0,2.0,neutral,cigarette,461.0,
29.0,2.0,neutral,neutral,461.0,
