sub_id,trial_type,selected_item,looked_at_item,timepoint,nr_trials,mean_fix_likelihood
14.0,3.0,neutral,alcohol,794.0,0.0,
14.0,3.0,neutral,cigarette,794.0,0.0,
14.0,3.0,neutral,neutral,794.0,0.0,
15.0,3.0,neutral,alcohol,794.0,0.0,
15.0,3.0,neutral,cigarette,794.0,0.0,
15.0,3.0,neutral,neutral,794.0,0.0,
16.0,3.0,neutral,alcohol,794.0,0.0,0.5
16.0,3.0,neutral,cigarette,794.0,0.0,0.5
16.0,3.0,neutral,neutral,794.0,0.0,0.0
17.0,3.0,neutral,alcohol,794.0,0.0,0.0
17.0,3.0,neutral,cigarette,794.0,0.0,0.2
17.0,3.0,neutral,neutral,794.0,0.0,0.8
18.0,3.0,neutral,alcohol,794.0,0.0,
18.0,3.0,neutral,cigarette,794.0,0.0,
18.0,3.0,neutral,neutral,794.0,0.0,
19.0,3.0,neutral,alcohol,794.0,0.0,0.0
19.0,3.0,neutral,cigarette,794.0,0.0,0.0
19.0,3.0,neutral,neutral,794.0,0.0,1.0
20.0,3.0,neutral,alcohol,794.0,0.0,0.0
20.0,3.0,neutral,cigarette,794.0,0.0,0.142857142857
20.0,3.0,neutral,neutral,794.0,0.0,0.857142857143
21.0,3.0,neutral,alcohol,794.0,0.0,0.0
21.0,3.0,neutral,cigarette,794.0,0.0,0.0
21.0,3.0,neutral,neutral,794.0,0.0,1.0
22.0,3.0,neutral,alcohol,794.0,0.0,
22.0,3.0,neutral,cigarette,794.0,0.0,
22.0,3.0,neutral,neutral,794.0,0.0,
23.0,3.0,neutral,alcohol,794.0,0.0,
23.0,3.0,neutral,cigarette,794.0,0.0,
23.0,3.0,neutral,neutral,794.0,0.0,
24.0,3.0,neutral,alcohol,794.0,0.0,0.5
24.0,3.0,neutral,cigarette,794.0,0.0,0.0
24.0,3.0,neutral,neutral,794.0,0.0,0.5
25.0,3.0,neutral,alcohol,794.0,0.0,0.0
