sub_id,subject_cue,selected,neu_mean_time_looking_at_pref,neu_mean_percentage_looking_at_pref,cue_mean_time_looking_at_pref,cue_mean_percentage_looking_at_pref,not_cue_mean_time_looking_at_pref,not_cue_mean_percentage_looking_at_pref,mean_response_time
cret25,alcohol,cue,58.775,0.0934677252618,466.475,0.841623007421,55.85,0.0649092673175,875.773833536
cret28,alcohol,cue,65.4848484848,0.100941700049,408.575757576,0.824217450659,67.1818181818,0.0748408492922,760.677847987
cret29,cigarette,cue,78.6333333333,0.0874938327814,310.066666667,0.741508890086,73.0666666667,0.170997277132,720.343683539
cret03,alcohol,not_cue,140.777777778,0.168439484086,220.666666667,0.248620820359,391.444444444,0.582939695556,1098.1603354
cret04,alcohol,not_cue,58.6363636364,0.105385778733,263.545454545,0.449667568085,245.363636364,0.444946653182,845.076005829
cret05,alcohol,not_cue,207.130434783,0.208656085244,341.565217391,0.377255419961,322.913043478,0.414088494795,1066.45900738
cret06,alcohol,not_cue,0.0,0.0,107.666666667,0.469575956162,127.0,0.530424043838,512.540270067
cret07,alcohol,not_cue,266.380952381,0.228049771438,351.80952381,0.281837170515,526.523809524,0.490113058047,1243.99731882
cret08,cigarette,not_cue,,,,,,,
cret09,cigarette,not_cue,,,,,,,
cret10,cigarette,not_cue,162.363636364,0.153933025101,59.2272727273,0.0753553035541,483.363636364,0.770711671345,804.95793835
cret11,alcohol,not_cue,59.25,0.120471162734,152.5,0.227610660674,370.5625,0.651918176592,867.395625763
cret14,cigarette,not_cue,138.75,0.154584912995,268.0,0.327674095454,422.25,0.517740991551,1028.81334404
cret15,alcohol,not_cue,191.8,0.180138559493,115.9,0.0915019744105,857.5,0.728359466097,1390.00757971
cret16,alcohol,not_cue,351.0,0.33953707433,397.666666667,0.273935876895,387.333333333,0.386527048776,1697.05534756
cret17,cigarette,not_cue,,,,,,,
cret18,cigarette,not_cue,101.085714286,0.0977896501819,205.8,0.187554742834,678.028571429,0.714655606984,1196.80743979
cret19,cigarette,not_cue,0.0,0.0,0.0,0.0,540.5,1.0,540.353084323
cret21,cigarette,not_cue,142.4,0.13515825909,214.2,0.198197105528,496.6,0.666644635382,1074.83300209
cret22,cigarette,not_cue,142.75,0.142451348046,156.875,0.220921525866,454.25,0.636627126088,1117.69906
cret25,alcohol,not_cue,113.692307692,0.174109470606,78.3076923077,0.0947151173052,458.269230769,0.731175412089,924.243203052
cret28,alcohol,not_cue,79.6333333333,0.110477561749,71.2,0.0946822404689,438.266666667,0.794840197782,763.655706044
cret29,cigarette,not_cue,129.655172414,0.235906163744,28.4827586207,0.0709573784536,315.379310345,0.693136457803,730.699380221
cret03,alcohol,neutral,219.8,0.560736196319,85.8,0.239263803681,151.8,0.2,759.561897169
cret04,alcohol,neutral,0.0,0.0,419.0,1.0,0.0,0.0,664.382268113
cret05,alcohol,neutral,,,,,,,
cret06,alcohol,neutral,,,,,,,
cret07,alcohol,neutral,406.5,0.477255561644,323.142857143,0.345100388444,206.428571429,0.177644049912,1036.8614702
cret08,cigarette,neutral,1067.0,0.449452401011,865.0,0.364363942713,442.0,0.186183656276,2568.71568092
cret09,cigarette,neutral,,,,,,,
cret10,cigarette,neutral,390.4,0.723399788809,74.8,0.153663028016,56.2,0.122937183175,688.311311108
cret11,alcohol,neutral,171.692307692,0.457868506461,49.1538461538,0.088274278348,123.076923077,0.453857215191,819.571168167
cret14,cigarette,neutral,0.0,0.0,712.0,1.0,0.0,0.0,921.564820109
cret15,alcohol,neutral,,,,,,,
cret16,alcohol,neutral,331.0,0.198322348712,335.0,0.200718993409,1003.0,0.600958657879,2252.46721654
cret17,cigarette,neutral,535.3,0.613472622764,166.78,0.180310546718,195.64,0.206216830518,1168.46935653
cret18,cigarette,neutral,,,,,,,
cret19,cigarette,neutral,,,,,,,
cret21,cigarette,neutral,519.333333333,0.540608030747,339.333333333,0.359050445104,133.666666667,0.100341524149,1233.94171549
cret22,cigarette,neutral,363.666666667,0.324086204859,303.0,0.229177252296,506.333333333,0.446736542844,1465.42029661
cret25,alcohol,neutral,403.166666667,0.700438954274,43.8333333333,0.0617370892019,173.166666667,0.237823956524,901.78277787
cret28,alcohol,neutral,0.0,0.0,598.0,1.0,0.0,0.0,777.263244123
cret29,cigarette,neutral,231.0,0.598880597015,0.0,0.0,537.5,0.401119402985,1071.73576047
