sub_id,trial_type,alc_prop_first_fixated,cig_prop_first_fixated,neu_prop_first_fixated,chose_alc_alc_prop_first_fixated,chose_alc_cig_prop_first_fixated,chose_alc_neu_prop_first_fixated,chose_cig_alc_prop_first_fixated,chose_cig_cig_prop_first_fixated,chose_cig_neu_prop_first_fixated,chose_neu_alc_prop_first_fixated,chose_neu_cig_prop_first_fixated,chose_neu_neu_prop_first_fixated
cret03,high_pref,0.16,0.64,0.2,0.0,0.916666666667,0.0833333333333,0.428571428571,0.142857142857,0.428571428571,0.0,1.0,0.0
cret04,high_pref,0.0281690140845,0.521126760563,0.450704225352,0.0,0.564102564103,0.435897435897,0.222222222222,0.222222222222,0.555555555556,0.0,1.0,0.0
cret05,high_pref,0.157142857143,0.285714285714,0.557142857143,0.0909090909091,0.340909090909,0.568181818182,0.304347826087,0.217391304348,0.478260869565,,,
cret06,high_pref,0.0384615384615,0.717948717949,0.24358974359,0.0266666666667,0.746666666667,0.226666666667,0.333333333333,0.0,0.666666666667,,,
cret07,high_pref,0.333333333333,0.314814814815,0.351851851852,0.0,0.428571428571,0.571428571429,0.444444444444,0.222222222222,0.333333333333,0.333333333333,0.666666666667,0.0
cret08,high_pref,0.462686567164,0.089552238806,0.44776119403,,,,0.471698113208,0.0943396226415,0.433962264151,0.0,0.0,1.0
cret09,high_pref,0.686274509804,0.0,0.313725490196,,,,0.764705882353,0.0,0.235294117647,,,
cret10,high_pref,0.457627118644,0.305084745763,0.237288135593,0.142857142857,0.714285714286,0.142857142857,0.647058823529,0.0588235294118,0.294117647059,0.615384615385,0.384615384615,0.0
cret11,high_pref,0.368421052632,0.438596491228,0.19298245614,0.137931034483,0.620689655172,0.241379310345,0.533333333333,0.2,0.266666666667,0.692307692308,0.307692307692,0.0
cret14,high_pref,0.348484848485,0.257575757576,0.393939393939,0.25,0.25,0.5,0.333333333333,0.266666666667,0.4,1.0,0.0,0.0
cret15,high_pref,0.2,0.293333333333,0.506666666667,0.112903225806,0.338709677419,0.548387096774,0.8,0.0,0.2,,,
cret16,high_pref,0.0,0.578947368421,0.421052631579,0.0,0.625,0.375,0.0,1.0,0.0,,,
cret17,high_pref,0.487179487179,0.294871794872,0.217948717949,,,,0.260869565217,0.260869565217,0.478260869565,0.622222222222,0.333333333333,0.0444444444444
cret18,high_pref,0.16,0.36,0.48,0.0,0.666666666667,0.333333333333,0.28125,0.125,0.59375,,,
cret19,high_pref,0.771428571429,0.171428571429,0.0571428571429,,,,0.875,0.125,0.0,,,
cret21,high_pref,0.741935483871,0.161290322581,0.0967741935484,0.25,0.5,0.25,0.888888888889,0.0555555555556,0.0555555555556,0.6,0.4,0.0
