sub_id,trial_type,self-reported_favorite_item,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
19.0,1.0,CIG,neutral,414.0,55.0,21.0,0.381818181818
20.0,1.0,CIG,alcohol,414.0,61.0,15.0,0.245901639344
20.0,1.0,CIG,cigarette,414.0,61.0,33.0,0.540983606557
20.0,1.0,CIG,neutral,414.0,61.0,13.0,0.213114754098
21.0,1.0,CIG,alcohol,414.0,0.0,0.0,
21.0,1.0,CIG,cigarette,414.0,0.0,0.0,
21.0,1.0,CIG,neutral,414.0,0.0,0.0,
22.0,1.0,CIG,alcohol,414.0,41.0,19.0,0.463414634146
22.0,1.0,CIG,cigarette,414.0,41.0,17.0,0.414634146341
22.0,1.0,CIG,neutral,414.0,41.0,5.0,0.121951219512
23.0,1.0,CIG,alcohol,414.0,42.0,18.0,0.428571428571
23.0,1.0,CIG,cigarette,414.0,42.0,19.0,0.452380952381
23.0,1.0,CIG,neutral,414.0,42.0,5.0,0.119047619048
24.0,1.0,CIG,alcohol,414.0,8.0,1.0,0.125
24.0,1.0,CIG,cigarette,414.0,8.0,4.0,0.5
24.0,1.0,CIG,neutral,414.0,8.0,3.0,0.375
25.0,1.0,CIG,alcohol,414.0,67.0,35.0,0.522388059701
25.0,1.0,CIG,cigarette,414.0,67.0,22.0,0.328358208955
25.0,1.0,CIG,neutral,414.0,67.0,10.0,0.149253731343
26.0,1.0,CIG,alcohol,414.0,0.0,0.0,
26.0,1.0,CIG,cigarette,414.0,0.0,0.0,
26.0,1.0,CIG,neutral,414.0,0.0,0.0,
27.0,1.0,CIG,alcohol,414.0,0.0,0.0,
27.0,1.0,CIG,cigarette,414.0,0.0,0.0,
27.0,1.0,CIG,neutral,414.0,0.0,0.0,
28.0,1.0,CIG,alcohol,414.0,0.0,0.0,
28.0,1.0,CIG,cigarette,414.0,0.0,0.0,
28.0,1.0,CIG,neutral,414.0,0.0,0.0,
29.0,1.0,CIG,alcohol,414.0,59.0,18.0,0.305084745763
29.0,1.0,CIG,cigarette,414.0,59.0,20.0,0.338983050847
29.0,1.0,CIG,neutral,414.0,59.0,21.0,0.35593220339
