sub_id,trial_type,prop_trials_chose_alc,prop_trials_chose_cig,prop_trials_chose_neu,neu_avg_looking_time,neu_avg_prop_time,cig_avg_looking_time,cig_avg_prop_time,alc_avg_looking_time,alc_avg_prop_time,avg_rt,chose_alc_neu_avg_looking_time,chose_alc_neu_avg_prop_time,chose_alc_cig_avg_looking_time,chose_alc_cig_avg_prop_time,chose_alc_alc_avg_looking_time,chose_alc_alc_avg_prop_time,chose_alc_avg_rt,chose_cig_neu_avg_looking_time,chose_cig_neu_avg_prop_time,chose_cig_cig_avg_looking_time,chose_cig_cig_avg_prop_time,chose_cig_alc_avg_looking_time,chose_cig_alc_avg_prop_time,chose_cig_avg_rt,chose_neu_neu_avg_looking_time,chose_neu_neu_avg_prop_time,chose_neu_cig_avg_looking_time,chose_neu_cig_avg_prop_time,chose_neu_alc_avg_looking_time,chose_neu_alc_avg_prop_time,chose_neu_avg_rt
cret15,agg_all_trials,0.564935064935,0.435064935065,0.0,259.318181818,0.199811897031,518.681818182,0.419910116385,462.88961039,0.380277986584,1490.72213076,232.402298851,0.188035360924,386.586206897,0.310308699745,581.735632184,0.50165593933,1445.60366127,294.268656716,0.215103817051,561.970149254,0.471133627703,436.805970149,0.313762555246,1549.30880011,,,,,,,
cret16,agg_all_trials,0.576923076923,0.25,0.173076923077,276.0,0.239939548893,568.134615385,0.524547117089,274.557692308,0.235513334018,1475.02860614,186.6,0.20183417124,169.733333333,0.168488966385,610.733333333,0.629676862375,1241.77600659,294.307692308,0.217673144031,446.384615385,0.368366665293,546.230769231,0.413960190676,1771.42631049,547.555555556,0.399120059203,375.777777778,0.26702863651,457.777777778,0.333851304287,1824.40725388
cret17,agg_all_trials,0.0,0.246753246753,0.753246753247,504.792207792,0.468372773144,300.681818182,0.26177616057,303.733766234,0.269851066286,1377.05839065,,,,,,,,369.421052632,0.265191717632,548.631578947,0.426676929293,381.105263158,0.308131353075,1559.94948336,549.137931034,0.534932084432,223.50862069,0.21847707668,274.336206897,0.246590838888,1317.14579131
cret18,agg_all_trials,0.596153846154,0.403846153846,0.0,172.474358974,0.153581549404,543.224358974,0.501814948806,342.878205128,0.34460350179,1262.19522782,186.322580645,0.149919629885,268.88172043,0.211068659642,709.88172043,0.639011710474,1370.67723014,152.031746032,0.158987240124,452.111111111,0.541726364009,297.206349206,0.299286395868,1102.05512917,,,,,,,
cret19,agg_all_trials,0.0314960629921,0.952755905512,0.0157480314961,190.11023622,0.275751442931,200.417322835,0.29156271269,287.125984252,0.43268584438,867.663117599,166.0,0.25,0.0,0.0,367.75,0.75,533.547656669,190.842975207,0.269105888946,298.768595041,0.449667131619,198.198347107,0.281226979435,884.094082798,194.0,0.729310344828,157.0,0.270689655172,0.0,0.0,541.820644923
cret21,agg_all_trials,0.177215189873,0.632911392405,0.189873417722,215.012658228,0.217074114636,268.037974684,0.282415865226,450.215189873,0.500510020138,1159.15767327,100.0,0.0971734339349,163.5,0.197947254982,495.285714286,0.704879311083,1032.05925005,166.58,0.155434253569,580.66,0.648818305809,218.32,0.195747440622,1183.68621721,483.8,0.53444762018,283.0,0.288540982049,221.666666667,0.177011397771,1196.02105514
cret22,agg_all_trials,0.323529411765,0.490196078431,0.186274509804,267.352941176,0.201378616774,348.509803922,0.302165477015,365.862745098,0.496455906211,1331.13128459,290.060606061,0.218991394898,254.727272727,0.220373731012,664.363636364,0.56063487409,1557.99318272,72.82,0.0843338794216,422.94,0.764387236918,113.62,0.15127888366,966.300744538,739.842105263,0.478800468853,408.684210526,0.270884603382,418.052631579,0.250314927765,1897.18835638
cret24,agg_all_trials,0.382978723404,0.531914893617,0.0851063829787,251.734042553,0.237182968337,501.659574468,0.465956197754,345.585106383,0.296860833909,1337.4589944,255.722222222,0.210565214996,326.972222222,0.205593459387,639.138888889,0.583841325618,1507.63027603,204.58,0.246449787504,351.64,0.370686172509,396.16,0.382864039987,1078.44159482,528.5,0.29904523858,391.5,0.246155653012,542.375,0.454799108408,2190.54697444
cret25,agg_all_trials,0.51677852349,0.375838926174,0.107382550336,142.140939597,0.179135543911,312.060402685,0.469095763346,255.11409396,0.351768692743,1002.15854458,90.8441558442,0.108605653136,112.454545455,0.112581222741,486.103896104,0.778813124123,1003.23465015,108.285714286,0.139934329298,474.017857143,0.721648701797,121.125,0.138416968906,974.283290928,507.5,0.655764894411,175.5,0.208278360438,142.75,0.13595674515,1094.54317427
cret26,agg_all_trials,0.479674796748,0.382113821138,0.138211382114,364.06504065,0.237724559207,619.804878049,0.421514682219,486.910569106,0.340760758574,1705.04011574,270.576271186,0.17771640543,306.338983051,0.215101283209,828.305084746,0.607182311361,1627.35512604,285.170212766,0.182360152028,695.361702128,0.52460260875,470.170212766,0.293037239221,1686.93207943,906.647058824,0.599054453925,537.294117647,0.268604410824,309.882352941,0.132341135251,2024.71612153
