sub_id,trial_type,selected_item,looked_at_item,timepoint,mean_fix_likelihood
14.0,1.0,alcohol,neutral,428.0,0.0882352941176
15.0,1.0,alcohol,alcohol,428.0,1.0
15.0,1.0,alcohol,cigarette,428.0,0.0
15.0,1.0,alcohol,neutral,428.0,0.0
16.0,1.0,alcohol,alcohol,428.0,0.5
16.0,1.0,alcohol,cigarette,428.0,0.25
16.0,1.0,alcohol,neutral,428.0,0.25
17.0,1.0,alcohol,alcohol,428.0,0.714285714286
17.0,1.0,alcohol,cigarette,428.0,0.285714285714
17.0,1.0,alcohol,neutral,428.0,0.0
18.0,1.0,alcohol,alcohol,428.0,1.0
18.0,1.0,alcohol,cigarette,428.0,0.0
18.0,1.0,alcohol,neutral,428.0,0.0
19.0,1.0,alcohol,alcohol,428.0,0.826086956522
19.0,1.0,alcohol,cigarette,428.0,0.0869565217391
19.0,1.0,alcohol,neutral,428.0,0.0869565217391
20.0,1.0,alcohol,alcohol,428.0,0.75
20.0,1.0,alcohol,cigarette,428.0,0.1875
20.0,1.0,alcohol,neutral,428.0,0.0625
21.0,1.0,alcohol,alcohol,428.0,0.578947368421
21.0,1.0,alcohol,cigarette,428.0,0.105263157895
21.0,1.0,alcohol,neutral,428.0,0.315789473684
22.0,1.0,alcohol,alcohol,428.0,0.727272727273
22.0,1.0,alcohol,cigarette,428.0,0.0909090909091
22.0,1.0,alcohol,neutral,428.0,0.181818181818
23.0,1.0,alcohol,alcohol,428.0,0.571428571429
23.0,1.0,alcohol,cigarette,428.0,0.142857142857
23.0,1.0,alcohol,neutral,428.0,0.285714285714
24.0,1.0,alcohol,alcohol,428.0,0.333333333333
24.0,1.0,alcohol,cigarette,428.0,0.333333333333
24.0,1.0,alcohol,neutral,428.0,0.333333333333
25.0,1.0,alcohol,alcohol,428.0,0.527777777778
25.0,1.0,alcohol,cigarette,428.0,0.25
25.0,1.0,alcohol,neutral,428.0,0.222222222222
26.0,1.0,alcohol,alcohol,428.0,0.0
26.0,1.0,alcohol,cigarette,428.0,1.0
26.0,1.0,alcohol,neutral,428.0,0.0
27.0,1.0,alcohol,alcohol,428.0,
27.0,1.0,alcohol,cigarette,428.0,
27.0,1.0,alcohol,neutral,428.0,
28.0,1.0,alcohol,alcohol,428.0,0.727272727273
28.0,1.0,alcohol,cigarette,428.0,0.227272727273
28.0,1.0,alcohol,neutral,428.0,0.0454545454545
29.0,1.0,alcohol,alcohol,428.0,0.625
29.0,1.0,alcohol,cigarette,428.0,0.375
29.0,1.0,alcohol,neutral,428.0,0.0
1.0,1.0,cigarette,alcohol,428.0,0.285714285714
1.0,1.0,cigarette,cigarette,428.0,0.571428571429
1.0,1.0,cigarette,neutral,428.0,0.142857142857
2.0,1.0,cigarette,alcohol,428.0,0.285714285714
2.0,1.0,cigarette,cigarette,428.0,0.571428571429
2.0,1.0,cigarette,neutral,428.0,0.142857142857
3.0,1.0,cigarette,alcohol,428.0,0.347826086957
3.0,1.0,cigarette,cigarette,428.0,0.478260869565
3.0,1.0,cigarette,neutral,428.0,0.173913043478
4.0,1.0,cigarette,alcohol,428.0,
4.0,1.0,cigarette,cigarette,428.0,
4.0,1.0,cigarette,neutral,428.0,
5.0,1.0,cigarette,alcohol,428.0,0.25
5.0,1.0,cigarette,cigarette,428.0,0.5
5.0,1.0,cigarette,neutral,428.0,0.25
6.0,1.0,cigarette,alcohol,428.0,0.161290322581
6.0,1.0,cigarette,cigarette,428.0,0.741935483871
6.0,1.0,cigarette,neutral,428.0,0.0967741935484
7.0,1.0,cigarette,alcohol,428.0,0.03125
7.0,1.0,cigarette,cigarette,428.0,0.90625
7.0,1.0,cigarette,neutral,428.0,0.0625
8.0,1.0,cigarette,alcohol,428.0,0.125
8.0,1.0,cigarette,cigarette,428.0,0.791666666667
8.0,1.0,cigarette,neutral,428.0,0.0833333333333
9.0,1.0,cigarette,alcohol,428.0,0.2
9.0,1.0,cigarette,cigarette,428.0,0.6
9.0,1.0,cigarette,neutral,428.0,0.2
10.0,1.0,cigarette,alcohol,428.0,0.282608695652
10.0,1.0,cigarette,cigarette,428.0,0.54347826087
